,0
IPouts,6.066045597114277
G_pit,-3.53780459259444
DP,-3.4687636287081705
bat_SLG,-2.924326612545887
G_fld,2.902815800775972
bat_OBP,2.8915857458986225
GS,-2.5865459812433302
PO,-2.568916520130621
G_bat,-2.25864634913186
pit_ERA_minus,-2.1083639428449006
bat_wRC_plus,-1.5956657737166355
RBI,1.3815004913412587
3B,-1.3291891302207
bat_WAR_fg,1.3120246021138697
A,-1.262835620807063
pit_BBpct,1.0908921175811097
pit_FIP,1.0555251371021286
BB_pit,-1.047220169660333
SV,1.043225145638082
SO_pit,1.0410341093072581
